investor_name,investor_type,investor_location_city,investor_location_country,investment_stage_min_usd,investment_stage_max_usd,focus_industries,evidence_quote,source_url,query,search_title
Sadev Ventures (Formerly Eternal Capital),VC,,India,200000,650000,"Consumer, Fintech, Enterprise","Sadev Ventures (Formerly Eternal Capital)
Seed – Series A | $200K–$650K
Consumer / Fintech / Enterprise",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
SamVed Ventures,VC,,India,150000,1000000,"Agritech, Food, Healthcare, Medtech, Fintech","SamVed Ventures
Seed – Series A – Series B | $150K–$1M
Agritech / Food / Healthcare / Medtech / Fintech",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Stellaris Venture Partners,VC,,India,500000,10000000,"AI, ML, B2C, Ecommerce, Fintech","Stellaris Venture Partners
Pre-Seed – Seed – Series A | $500K–$10M
AI / ML / B2C / Ecommerce / Fintech",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Stride Ventures,VC,,India,500000,30000000,"Consumer, Fintech, Climate, Sustainability","Stride Ventures
Debt | $500K–$30M
Consumer / Fintech / Climate / Sustainability",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Swishin Ventures,VC,,India,200000,500000,"Deep Tech, Consumer, BFSI, Healthcare","Swishin Ventures
Pre-Seed – Seed – Series A | $200K–$500K
Deep Tech / Consumer / BFSI / Healthcare",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Arali Ventures,VC,,India,500000,1000000,"Fintech, SaaS, DevOps, Marketplace, Industrial, IoT","Arali Ventures
Pre-Seed – Seed | $500K–$1M
Fintech / SaaS / DevOps / Marketplace / Industrial / IoT",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Antler,VC,,India,200000,500000,"AI/ML, Fintech, Enterprise","Antler
Pre-Seed | $200K–$500K
AI/ML / Fintech / Enterprise",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Arkam Ventures,VC,,India,1000000,5000000,"Fintech, AI, DeepTech","Arkam Ventures
Series A | $1M–$5M
Fintech / AI / DeepTech",https://www.linkedin.com/posts/incentiv-finance_letter-s-activity-7438178492154032128-p-3I,Fintech investors in India investing $500k–$2M,Indian Startups: Active VCs Backing Next Wave
Quona Capital,VC,,,100000,5000000,Fintech,"Invests in fintech expanding financial access across Latin America, India, Southeast Asia, Africa and Middle East",https://www.vcsheet.com/sheet/funds-investing-in-india,Fintech investors in India investing $500k–$2M,Funds investing in India
Future\Perfect Ventures,VC,,,500000,5000000,"Fintech, Blockchain","Early dedicated blockchain VC... focusing on adoption in underbanked markets (Africa, India, Latin America).",https://www.vcsheet.com/sheet/funds-investing-in-india,Fintech investors in India investing $500k–$2M,Funds investing in India
