investor_name,investor_type,investor_location_city,investor_location_country,investment_stage_min_usd,investment_stage_max_usd,focus_industries,evidence_quote,source_url,query,search_title
Angel investors,Angel,,,500000,2000000,"Healthtech, Neurotechnology, Medical Devices",Early angels who bought into that $750K pre-seed... the capital will fund U.S. and India market launches.,https://angelinvestorsnetwork.com/startups/mave-healths-21m-seed-why-neurotechnology-hardware-startups-are-the-new-angel-to,Healthtech investors in India investing $500k–$2M,Neurotechnology Startup Funding: Mave Health's $2.1M Seed ...
Angel syndicates,Angel,,,500000,2000000,"Healthtech, Neurotechnology, Medical Devices",November 2023: $750K pre-seed. Likely from angel syndicates... the capital will fund U.S. and India market launches.,https://angelinvestorsnetwork.com/startups/mave-healths-21m-seed-why-neurotechnology-hardware-startups-are-the-new-angel-to,Healthtech investors in India investing $500k–$2M,Neurotechnology Startup Funding: Mave Health's $2.1M Seed ...
Micro-VCs,VC,,,500000,2000000,"Healthtech, Neurotechnology, Medical Devices",November 2023: $750K pre-seed. Likely from... micro-VCs... the capital will fund U.S. and India market launches.,https://angelinvestorsnetwork.com/startups/mave-healths-21m-seed-why-neurotechnology-hardware-startups-are-the-new-angel-to,Healthtech investors in India investing $500k–$2M,Neurotechnology Startup Funding: Mave Health's $2.1M Seed ...
Strategic industry operators,Other,,,500000,2000000,"Healthtech, Neurotechnology, Medical Devices",November 2023: $750K pre-seed. Likely from... strategic industry operators... the capital will fund U.S. and India market launches.,https://angelinvestorsnetwork.com/startups/mave-healths-21m-seed-why-neurotechnology-hardware-startups-are-the-new-angel-to,Healthtech investors in India investing $500k–$2M,Neurotechnology Startup Funding: Mave Health's $2.1M Seed ...
Accel,VC,,India,250000,10000000,"HealthTech, digital platforms",Early-to-growth stage VC with deep experience in scaling product-led startups; active in HealthTech and digital platforms. Avg Check Size (est.): $0.25M–$10M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Matrix Partners India,VC,,India,50000,2000000,"digital health, enterprise and consumer tech","Early-stage VC backing founders from idea to Series A; invests in digital health, enterprise and consumer tech. Avg Check Size (est.): $50k–$2M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Lightspeed Venture Partners (India),VC,,India,250000,10000000,"HealthTech, consumer health",Multi-stage investor backing ambitious startups from seed to growth; active in HealthTech and consumer health plays. Avg Check Size (est.): $0.25M–$10M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Norwest Venture Partners (India),VC,,India,500000,10000000,"healthcare, consumer and enterprise tech","Early- to mid-stage and growth investor with a presence in India; invests across healthcare, consumer and enterprise tech. Avg Check Size (est.): $0.5M–$10M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Bessemer Venture Partners (India),VC,,India,500000,10000000,"healthcare, SaaS and consumer","Global VC with dedicated India presence; invests across sectors including healthcare, SaaS and consumer. Avg Check Size (est.): $0.5M–$10M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Kalaari Capital,VC,Bengaluru,India,250000,3000000,"tech-enabled services, healthcare startups, digital health",Early-stage Indian VC with a history of backing tech-enabled services and healthcare startups. Avg Check Size (est.): $0.25M–$3M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Alteria Capital,Venture Debt,Mumbai,India,500000,5000000,scaling HealthTech,India’s leading venture-debt firm that helps startups scale while limiting equity dilution. Avg Check Size (est.): $0.5M–$5M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Z47,Investment Firm,Bengaluru,India,500000,5000000,"Tech-led health, deep-tech",Founder-operator led investment firm backing tech-first startups and scaling operators. Avg Check Size (est.): $0.5M–$5M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Nexus Venture Partners,VC,,India,1000000,10000000,"consumer, enterprise and healthcare technology","Cross-border VC investing across consumer, enterprise and healthcare technology. Avg Check Size (est.): $1M–$10M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Mayfield,VC,Menlo Park,USA,500000,10000000,Platform & enterprise health,Long-established VC writing growth and expansion-stage checks into platform businesses. Avg Check Size (est.): $0.5M–$10M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
HealthQuad,VC,Delhi,India,500000,5000000,"Digital health, diagnostics, med-tech and services","Dedicated HealthTech fund investing across the healthcare value chain — digital health, diagnostics, med-tech and services. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
3one4 Capital,VC,Bengaluru,India,250000,3000000,"AI, marketplaces and digital health","Early-stage VC backing product-driven startups in AI, marketplaces and digital health. Avg Check Size (est.): $0.25M–$3M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Titan Capital,Investor,Gurugram,India,1000000,10000000,Consumer and health scaling,Growth-oriented investor supporting scaling consumer and tech businesses. Avg Check Size (est.): $1M–$10M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Unilever Ventures,Corporate VC,London,UK,500000,10000000,"wellness, consumer health and platform businesses","Corporate VC of Unilever backing wellness, consumer health and platform businesses with strategic synergies. Avg Check Size (est.): $0.5M–$10M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Trifecta Capital,Venture Debt,Gurugram,India,500000,10000000,growth capital & debt for health cos,Debt and growth capital provider helping firms scale with non-dilutive options. Avg Check Size (est.): $0.5M–$10M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Rainmatter,Incubator and Fund,Bengaluru,India,250000,2000000,"wellness, preventive healthcare and consumer health-first plays","Incubator and fund focusing on wellness, preventive healthcare and consumer health-first plays. Avg Check Size (est.): $0.25M–$2M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Orios Venture Partners,VC,Mumbai,India,250000,3000000,"tech and consumer startups, including health-focused companies","Early-stage VC investing in tech and consumer startups, including health-focused companies. Avg Check Size (est.): $0.25M–$3M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Beyond Next Ventures,VC,Tokyo,Japan,500000,5000000,"Deep-tech and biotech, med-tech and biotech collaborations",Deep-tech and biotech investor with cross-border activity in Asia including med-tech and biotech collaborations. Avg Check Size (est.): $0.5M–$5M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Elevation Capital,Investor,,India,1000000,10000000,"consumer, enterprise and healthcare tech","Large growth-stage investor backing category leaders across consumer, enterprise and healthcare tech. Avg Check Size (est.): $1M–$10M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Samsung Venture Investment,Corporate VC,Seoul,South Korea,500000,5000000,"hardware, components and med-tech device innovation","Corporate VC investing in hardware, components and med-tech device innovation. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Acumen,Impact Investor,New York,USA,250000,2000000,affordable healthcare models and social enterprises,Impact investor funding affordable healthcare models and social enterprises with measurable outcomes. Avg Check Size (est.): $0.25M–$2M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Ventureast,VC,Bengaluru,India,500000,5000000,"life sciences, healthcare services and early-stage innovation","Veteran VC with experience in life sciences, healthcare services and early-stage innovation. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
RTP Global,VC,,Global,500000,5000000,scalable tech platforms including HealthTech SaaS and marketplaces,Cross-border VC investing in scalable tech platforms including HealthTech SaaS and marketplaces. Avg Check Size (est.): $0.5M–$5M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Prime Venture Partners,VC,Bengaluru,India,250000,2000000,product-first companies including digital health and SaaS,Early-stage VC focused on product-first companies including digital health and SaaS. Avg Check Size (est.): $0.25M–$2M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
IvyCap Ventures Advisors,Institutional Investor,Mumbai,India,1000000,10000000,growth-stage Indian startups across sectors including healthcare,Institutional investor backing growth-stage Indian startups across sectors including healthcare. Avg Check Size (est.): $1M–$10M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Sony Innovation Fund,Corporate VC,Tokyo,Japan,500000,5000000,"innovative hardware, imaging and med-tech opportunities","Corporate VC targeting innovative hardware, imaging and med-tech opportunities. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Omidyar Network India,Impact Investor,Mumbai,India,500000,5000000,"scalable tech solutions for social good, including healthcare access and affordability","Impact investor supporting scalable tech solutions for social good, including healthcare access and affordability. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Sixth Sense Ventures,Investor,Mumbai,India,500000,5000000,"consumer, health and wellness startups","Early-stage investor in consumer, health and wellness startups. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
pi Ventures,Fund,Bengaluru,India,500000,5000000,"Deep-tech and AI-focused, innovative HealthTech and med-device startups",Deep-tech and AI-focused fund backing innovative HealthTech and med-device startups. Avg Check Size (est.): $0.5M–$5M,https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
Stellaris Venture Partners,VC,Bengaluru,India,500000,5000000,"product-led startups across SaaS, enterprise and healthcare tech","Early-stage VC investing in product-led startups across SaaS, enterprise and healthcare tech. Avg Check Size (est.): $0.5M–$5M",https://deeltrix.com/top-50-healthtech-investors-powering-indias-healthcare-revolution/,Healthtech investors in India investing $500k–$2M,Top 50 HealthTech Investors Powering India's Healthcare ...
